term;page;tag;score
スイッチ;44;NEW;0,809704
確認交直切換スイッチ;44;NEW;0,804325
運転台選択スイッチ;44;KNOWN;0,803735
後位置運転台選択スイッチ;44;NEW;0,792217
位置;44;NEW;0,771834
所定位置;44;NEW;0,75881
前位置;44;NEW;0,743387
運転;44;NEW;0,73918
ユルメ位置;44;NEW;0,72625
試験;44;NEW;0,723726
パイロット;44;NEW;0,722384
ノッチ;44;KNOWN;0,66657
解錠;44;KNOWN;0,586408
運賃;44;KNOWN;0,529599
乗務員;44;KNOWN;0,511113
電車;44;KNOWN;0,475711
ATS;44;KNOWN;0,470081
出区点検;44;KNOWN;0,460401
故障;44;KNOWN;0,419002
動作;44;KNOWN;0,413162
動力車;44;KNOWN;0,40382
BC;44;KNOWN;0,343354
乗務員;45;KNOWN;0,511113
電車;45;KNOWN;0,475711
動力車;45;KNOWN;0,40382
